index_number,x1,x2,x3,x4,y
0,-1.1,1.0,0.5,0.05,2.039985
1,-1.063333,1.0,0.5,0.05,2.0044309
2,-1.026667,1.0,0.5,0.05,1.9688768
3,-0.99,1.0,0.5,0.05,1.9333228
4,-0.953333,1.0,0.5,0.05,1.8977687
5,-0.916667,1.0,0.5,0.05,1.8622146
6,-0.88,1.0,0.5,0.05,1.8266606
7,-0.843333,1.0,0.5,0.05,1.7911065
8,-0.806667,1.0,0.5,0.05,1.7555525
9,-0.77,1.0,0.5,0.05,1.7199984
10,-0.733333,1.0,0.5,0.05,1.6844443
11,-0.696667,1.0,0.5,0.05,1.6488903
12,-0.66,1.0,0.5,0.05,1.6133362
13,-0.623333,1.0,0.5,0.05,1.5777821
14,-0.586667,1.0,0.5,0.05,1.5422281
15,-0.55,1.0,0.5,0.05,1.506674
16,-0.513333,1.0,0.5,0.05,1.47112
17,-0.476667,1.0,0.5,0.05,1.4355659
18,-0.44,1.0,0.5,0.05,1.4000118
19,-0.403333,1.0,0.5,0.05,1.3644578
20,-0.366667,1.0,0.5,0.05,1.3289037
21,-0.33,1.0,0.5,0.05,1.2933496
22,-0.293333,1.0,0.5,0.05,1.2577956
23,-0.256667,1.0,0.5,0.05,1.2222415
24,-0.22,1.0,0.5,0.05,1.1866875
25,-0.183333,1.0,0.5,0.05,1.1511334
26,-0.146667,1.0,0.5,0.05,1.1155793
27,-0.11,1.0,0.5,0.05,1.0800253
28,-0.073333,1.0,0.5,0.05,1.0444712
29,-0.036667,1.0,0.5,0.05,1.0089171
30,0.0,1.0,0.5,0.05,0.97336308
31,0.036667,1.0,0.5,0.05,0.93780902
32,0.073333,1.0,0.5,0.05,0.90225496
33,0.11,1.0,0.5,0.05,0.8667009
34,0.146667,1.0,0.5,0.05,0.83114683
35,0.183333,1.0,0.5,0.05,0.79559277
36,0.22,1.0,0.5,0.05,0.76003871
37,0.256667,1.0,0.5,0.05,0.72448465
38,0.293333,1.0,0.5,0.05,0.68893058
39,0.33,1.0,0.5,0.05,0.65337652
40,0.366667,1.0,0.5,0.05,0.61782246
41,0.403333,1.0,0.5,0.05,0.5822684
42,0.44,1.0,0.5,0.05,0.54671433
43,0.476667,1.0,0.5,0.05,0.51116027
44,0.513333,1.0,0.5,0.05,0.47560621
45,0.55,1.0,0.5,0.05,0.44005215
46,0.586667,1.0,0.5,0.05,0.40449808
47,0.623333,1.0,0.5,0.05,0.36894402
48,0.66,1.0,0.5,0.05,0.33338996
49,0.696667,1.0,0.5,0.05,0.2978359
50,0.733333,1.0,0.5,0.05,0.26228183
51,0.77,1.0,0.5,0.05,0.22672777
52,0.806667,1.0,0.5,0.05,0.19117371
53,0.843333,1.0,0.5,0.05,0.15561965
54,0.88,1.0,0.5,0.05,0.12006558
55,0.916667,1.0,0.5,0.05,0.084511521
56,0.953333,1.0,0.5,0.05,0.048957458
57,0.99,1.0,0.5,0.05,0.013403396
58,1.026667,1.0,0.5,0.05,-0.022150667
59,1.063333,1.0,0.5,0.05,-0.057704729
60,1.1,1.0,0.5,0.05,-0.093258792
61,-1.1,1.0,0.6,0.05,2.039985
62,-1.063333,1.0,0.6,0.05,2.0044309
63,-1.026667,1.0,0.6,0.05,1.9688768
64,-0.99,1.0,0.6,0.05,1.9333228
65,-0.953333,1.0,0.6,0.05,1.8977687
66,-0.916667,1.0,0.6,0.05,1.8622146
67,-0.88,1.0,0.6,0.05,1.8266606
68,-0.843333,1.0,0.6,0.05,1.7911065
69,-0.806667,1.0,0.6,0.05,1.7555525
70,-0.77,1.0,0.6,0.05,1.7199984
71,-0.733333,1.0,0.6,0.05,1.6844443
72,-0.696667,1.0,0.6,0.05,1.6488903
73,-0.66,1.0,0.6,0.05,1.6133362
74,-0.623333,1.0,0.6,0.05,1.5777821
75,-0.586667,1.0,0.6,0.05,1.5422281
76,-0.55,1.0,0.6,0.05,1.506674
77,-0.513333,1.0,0.6,0.05,1.47112
78,-0.476667,1.0,0.6,0.05,1.4355659
79,-0.44,1.0,0.6,0.05,1.4000118
80,-0.403333,1.0,0.6,0.05,1.3644578
81,-0.366667,1.0,0.6,0.05,1.3289037
82,-0.33,1.0,0.6,0.05,1.2933496
83,-0.293333,1.0,0.6,0.05,1.2577956
84,-0.256667,1.0,0.6,0.05,1.2222415
85,-0.22,1.0,0.6,0.05,1.1866875
86,-0.183333,1.0,0.6,0.05,1.1511334
87,-0.146667,1.0,0.6,0.05,1.1155793
88,-0.11,1.0,0.6,0.05,1.0800253
89,-0.073333,1.0,0.6,0.05,1.0444712
90,-0.036667,1.0,0.6,0.05,1.0089171
91,0.0,1.0,0.6,0.05,0.97336308
92,0.036667,1.0,0.6,0.05,0.93780902
93,0.073333,1.0,0.6,0.05,0.90225496
94,0.11,1.0,0.6,0.05,0.8667009
95,0.146667,1.0,0.6,0.05,0.83114683
96,0.183333,1.0,0.6,0.05,0.79559277
97,0.22,1.0,0.6,0.05,0.76003871
98,0.256667,1.0,0.6,0.05,0.72448465
99,0.293333,1.0,0.6,0.05,0.68893058
100,0.33,1.0,0.6,0.05,0.65337652
101,0.366667,1.0,0.6,0.05,0.61782246
102,0.403333,1.0,0.6,0.05,0.5822684
103,0.44,1.0,0.6,0.05,0.54671433
104,0.476667,1.0,0.6,0.05,0.51116027
105,0.513333,1.0,0.6,0.05,0.47560621
106,0.55,1.0,0.6,0.05,0.44005215
