index_number,x1,x2,x3,x4,y
22700,-0.6,0.9,1.0,0.4,1.2660572
22701,-0.566667,0.9,1.0,0.4,1.23822608
22702,-0.533333,0.9,1.0,0.4,1.21045952
22703,-0.5,0.9,1.0,0.4,1.18274792
22704,-0.466667,0.9,1.0,0.4,1.1550832
22705,-0.433333,0.9,1.0,0.4,1.12745672
22706,-0.4,0.9,1.0,0.4,1.09986056
22707,-0.366667,0.9,1.0,0.4,1.072288
22708,-0.333333,0.9,1.0,0.4,1.04473344
22709,-0.3,0.9,1.0,0.4,1.01719328
22710,-0.266667,0.9,1.0,0.4,0.98966552
22711,-0.233333,0.9,1.0,0.4,0.96215032
22712,-0.2,0.9,1.0,0.4,0.93464992
22713,-0.166667,0.9,1.0,0.4,0.90716832
22714,-0.133333,0.9,1.0,0.4,0.87971168
22715,-0.1,0.9,1.0,0.4,0.852288
22716,-0.066667,0.9,1.0,0.4,0.82490704
22717,-0.033333,0.9,1.0,0.4,0.797580232
22718,0.0,0.9,1.0,0.4,0.770321368
22719,0.033333,0.9,1.0,0.4,0.7431462
22720,0.066667,0.9,1.0,0.4,0.716073008
22721,0.1,0.9,1.0,0.4,0.689123008
22722,0.133333,0.9,1.0,0.4,0.662320904
22723,0.166667,0.9,1.0,0.4,0.635691512
22724,0.2,0.9,1.0,0.4,0.609242104
22725,0.233333,0.9,1.0,0.4,0.58296132
22726,0.266667,0.9,1.0,0.4,0.556825344
22727,0.3,0.9,1.0,0.4,0.530799344
22728,0.333333,0.9,1.0,0.4,0.50483868
22729,0.366667,0.9,1.0,0.4,0.47889248
22730,0.4,0.9,1.0,0.4,0.45290892
22731,0.433333,0.9,1.0,0.4,0.426840216
22732,0.466667,0.9,1.0,0.4,0.4006466
22763,-0.6,0.9,1.1,0.4,1.26618688
22764,-0.566667,0.9,1.1,0.4,1.23827896
22765,-0.533333,0.9,1.1,0.4,1.2104348
22766,-0.5,0.9,1.1,0.4,1.18264608
22767,-0.466667,0.9,1.1,0.4,1.15490632
22768,-0.433333,0.9,1.1,0.4,1.12720816
22769,-0.4,0.9,1.1,0.4,1.09954528
22770,-0.366667,0.9,1.1,0.4,1.07191208
22771,-0.333333,0.9,1.1,0.4,1.04430408
22772,-0.3,0.9,1.1,0.4,1.01671832
22773,-0.266667,0.9,1.1,0.4,0.98915344
22774,-0.233333,0.9,1.1,0.4,0.96160944
22775,-0.2,0.9,1.1,0.4,0.9340884
22776,-0.166667,0.9,1.1,0.4,0.90659416
22777,-0.133333,0.9,1.1,0.4,0.879132
22778,-0.1,0.9,1.1,0.4,0.85170936
22779,-0.066667,0.9,1.1,0.4,0.82433512
22780,-0.033333,0.9,1.1,0.4,0.797020096
22781,0.0,0.9,1.1,0.4,0.769777064
22782,0.033333,0.9,1.1,0.4,0.742620744
22783,0.066667,0.9,1.1,0.4,0.715568104
22784,0.1,0.9,1.1,0.4,0.688638568
22785,0.133333,0.9,1.1,0.4,0.661854144
22786,0.166667,0.9,1.1,0.4,0.635235216
22787,0.2,0.9,1.1,0.4,0.608783872
22788,0.233333,0.9,1.1,0.4,0.58248592
22789,0.266667,0.9,1.1,0.4,0.556317008
22790,0.3,0.9,1.1,0.4,0.530244048
22791,0.333333,0.9,1.1,0.4,0.504226312
22792,0.366667,0.9,1.1,0.4,0.478218344
22793,0.4,0.9,1.1,0.4,0.452173928
22794,0.433333,0.9,1.1,0.4,0.426049944
22795,0.466667,0.9,1.1,0.4,0.399809584
22826,-0.6,0.9,1.2,0.4,1.2663292
22827,-0.566667,0.9,1.2,0.4,1.23834896
22828,-0.533333,0.9,1.2,0.4,1.210432
22829,-0.5,0.9,1.2,0.4,1.18257112
22830,-0.466667,0.9,1.2,0.4,1.15476104
22831,-0.433333,0.9,1.2,0.4,1.1269956
22832,-0.4,0.9,1.2,0.4,1.09926968
22833,-0.366667,0.9,1.2,0.4,1.07157864
22834,-0.333333,0.9,1.2,0.4,1.04391904
22835,-0.3,0.9,1.2,0.4,1.0162884
22836,-0.266667,0.9,1.2,0.4,0.98868576
22837,-0.233333,0.9,1.2,0.4,0.96111144
22838,-0.2,0.9,1.2,0.4,0.93356736
