index_number,x1,x2,x3,x4,y
41684,-0.033333,0.8,1.4,0.6,0.66680648
41685,0.033333,0.8,1.4,0.6,0.617760449
41686,0.1,0.8,1.4,0.6,0.570136137
41687,0.16667,0.8,1.4,0.6,0.523397744
41688,0.23333,0.8,1.4,0.6,0.477811676
41689,0.3,0.8,1.4,0.6,0.433349037
41690,0.36667,0.8,1.4,0.6,0.388255607
41691,0.43333,0.8,1.4,0.6,0.342556813
41692,0.5,0.8,1.4,0.6,0.296470679
41693,0.56667,0.8,1.4,0.6,0.24862154
41694,0.63333,0.8,1.4,0.6,0.200112234
41695,0.7,0.8,1.4,0.6,0.149687058
41696,0.76667,0.8,1.4,0.6,0.097960396
41697,0.83333,0.8,1.4,0.6,0.045630067
41698,0.9,0.8,1.4,0.6,-0.00516709
41715,-0.033333,0.8,1.6,0.6,0.665472683
41716,0.033333,0.8,1.6,0.6,0.616455643
41717,0.1,0.8,1.6,0.6,0.568819992
41718,0.16667,0.8,1.6,0.6,0.521955685
41719,0.23333,0.8,1.6,0.6,0.47607855
41720,0.3,0.8,1.6,0.6,0.43121566
41721,0.36667,0.8,1.6,0.6,0.38568665
41722,0.43333,0.8,1.6,0.6,0.339591612
41723,0.5,0.8,1.6,0.6,0.293186272
41724,0.56667,0.8,1.6,0.6,0.245091186
41725,0.63333,0.8,1.6,0.6,0.196406228
41726,0.7,0.8,1.6,0.6,0.145859207
41727,0.76667,0.8,1.6,0.6,0.094056392
41728,0.83333,0.8,1.6,0.6,0.041687052
41729,0.9,0.8,1.6,0.6,-0.00912037
41746,-0.033333,0.8,1.8,0.6,0.664288294
41747,0.033333,0.8,1.8,0.6,0.615242443
41748,0.1,0.8,1.8,0.6,0.567531277
41749,0.16667,0.8,1.8,0.6,0.52048371
41750,0.23333,0.8,1.8,0.6,0.474287694
41751,0.3,0.8,1.8,0.6,0.429022704
41752,0.36667,0.8,1.8,0.6,0.383064427
41753,0.43333,0.8,1.8,0.6,0.336573385
41754,0.5,0.8,1.8,0.6,0.289839251
41755,0.56667,0.8,1.8,0.6,0.241481382
41756,0.63333,0.8,1.8,0.6,0.192600732
41757,0.7,0.8,1.8,0.6,0.141910554
41758,0.76667,0.8,1.8,0.6,0.090010433
41759,0.83333,0.8,1.8,0.6,0.037582024
41760,0.9,0.8,1.8,0.6,-0.01325353
41777,-0.033333,0.8,2.0,0.6,0.663244027
41778,0.033333,0.8,2.0,0.6,0.61412031
41779,0.1,0.8,2.0,0.6,0.566281238
41780,0.16667,0.8,2.0,0.6,0.519006708
41781,0.23333,0.8,2.0,0.6,0.472472011
41782,0.3,0.8,2.0,0.6,0.426804404
41783,0.36667,0.8,2.0,0.6,0.380422644
41784,0.43333,0.8,2.0,0.6,0.333537121
41785,0.5,0.8,2.0,0.6,0.286467751
41786,0.56667,0.8,2.0,0.6,0.237833839
41787,0.63333,0.8,2.0,0.6,0.188740493
41788,0.7,0.8,2.0,0.6,0.137888174
41789,0.76667,0.8,2.0,0.6,0.085871299
41790,0.83333,0.8,2.0,0.6,0.03336488
41791,0.9,0.8,2.0,0.6,-0.017516102
42025,-0.033333,0.8,1.4,0.65,0.639963016
42026,0.033333,0.8,1.4,0.65,0.593417069
42027,0.1,0.8,1.4,0.65,0.548296549
42028,0.16667,0.8,1.4,0.65,0.504084329
42029,0.23333,0.8,1.4,0.65,0.46096793
42030,0.3,0.8,1.4,0.65,0.418859357
42031,0.36667,0.8,1.4,0.65,0.376075398
