index_number,x1,x2,x3,x4,y
15991,-1.05,0.9,0.6,0.1,2.039177
15992,-1.0,0.9,0.6,0.1,1.98346452
15993,-0.966667,0.9,0.6,0.1,1.94653912
15994,-0.933333,0.9,0.6,0.1,1.90979538
15995,-0.9,0.9,0.6,0.1,1.87323846
15996,-0.866667,0.9,0.6,0.1,1.83687528
15997,-0.833333,0.9,0.6,0.1,1.80071224
15998,-0.8,0.9,0.6,0.1,1.76475606
15999,-0.766667,0.9,0.6,0.1,1.72901136
16000,-0.733333,0.9,0.6,0.1,1.69348382
16001,-0.7,0.9,0.6,0.1,1.65817738
16002,-0.666667,0.9,0.6,0.1,1.62309492
16003,-0.633333,0.9,0.6,0.1,1.58823528
16004,-0.6,0.9,0.6,0.1,1.55359578
16005,-0.566667,0.9,0.6,0.1,1.51916884
16006,-0.533333,0.9,0.6,0.1,1.48494212
16007,-0.5,0.9,0.6,0.1,1.45089506
16008,-0.466667,0.9,0.6,0.1,1.41700148
16009,-0.433333,0.9,0.6,0.1,1.38322674
16010,-0.4,0.9,0.6,0.1,1.34952996
16011,-0.366667,0.9,0.6,0.1,1.31586598
16012,-0.333333,0.9,0.6,0.1,1.28218964
16013,-0.3,0.9,0.6,0.1,1.24846074
16014,-0.266667,0.9,0.6,0.1,1.21464816
16015,-0.233333,0.9,0.6,0.1,1.18073258
16016,-0.2,0.9,0.6,0.1,1.14670688
16017,-0.166667,0.9,0.6,0.1,1.11257422
16018,-0.133333,0.9,0.6,0.1,1.07834566
16019,-0.1,0.9,0.6,0.1,1.04403776
16020,-0.066667,0.9,0.6,0.1,1.00967036
16021,-0.033333,0.9,0.6,0.1,0.97526552
16022,0.0,0.9,0.6,0.1,0.94084698
16023,0.033333,0.9,0.6,0.1,0.90643998
16024,0.066667,0.9,0.6,0.1,0.8720717
16025,0.1,0.9,0.6,0.1,0.8377722
16026,0.133333,0.9,0.6,0.1,0.8035756
16027,0.166667,0.9,0.6,0.1,0.7695218
16028,0.2,0.9,0.6,0.1,0.7356547
16029,0.233333,0.9,0.6,0.1,0.70201832
16030,0.266667,0.9,0.6,0.1,0.66865338
16031,0.3,0.9,0.6,0.1,0.63558552
16032,0.333333,0.9,0.6,0.1,0.60280044
16033,0.366667,0.9,0.6,0.1,0.57022092
16034,0.4,0.9,0.6,0.1,0.53771616
16035,0.433333,0.9,0.6,0.1,0.50514348
16036,0.466667,0.9,0.6,0.1,0.47238578
16037,0.5,0.9,0.6,0.1,0.4393644
16038,0.533333,0.9,0.6,0.1,0.40603458
16039,0.566667,0.9,0.6,0.1,0.37237768
16040,0.6,0.9,0.6,0.1,0.33838966
16041,0.633333,0.9,0.6,0.1,0.30407786
16042,0.666667,0.9,0.6,0.1,0.26945474
16043,0.7,0.9,0.6,0.1,0.23453434
16044,0.733333,0.9,0.6,0.1,0.19933416
16045,0.766667,0.9,0.6,0.1,0.163862796
16046,0.8,0.9,0.6,0.1,0.128147612
16047,0.833333,0.9,0.6,0.1,0.092186042
16048,0.866667,0.9,0.6,0.1,0.05599726
16049,0.9,0.9,0.6,0.1,0.019609869
16050,0.933333,0.9,0.6,0.1,-0.01700258
16051,0.966667,0.9,0.6,0.1,-0.053803872
16052,1.0,0.9,0.6,0.1,-0.090777116
16054,-1.05,0.9,0.7,0.1,2.0400932
16055,-1.0,0.9,0.7,0.1,1.9844034
16056,-0.966667,0.9,0.7,0.1,1.94749044
16057,-0.933333,0.9,0.7,0.1,1.91075654
16058,-0.9,0.9,0.7,0.1,1.87420608
16059,-0.866667,0.9,0.7,0.1,1.83784512
16060,-0.833333,0.9,0.7,0.1,1.80167888
16061,-0.8,0.9,0.7,0.1,1.76571286
16062,-0.766667,0.9,0.7,0.1,1.72995016
16063,-0.733333,0.9,0.7,0.1,1.69439474
16064,-0.7,0.9,0.7,0.1,1.65904866
16065,-0.666667,0.9,0.7,0.1,1.62391274
16066,-0.633333,0.9,0.7,0.1,1.58898372
16067,-0.6,0.9,0.7,0.1,1.55425698
16068,-0.566667,0.9,0.7,0.1,1.51972348
16069,-0.533333,0.9,0.7,0.1,1.48537018
16070,-0.5,0.9,0.7,0.1,1.45117722
16071,-0.466667,0.9,0.7,0.1,1.41712108
16072,-0.433333,0.9,0.7,0.1,1.38317206
16073,-0.4,0.9,0.7,0.1,1.3492967
16074,-0.366667,0.9,0.7,0.1,1.31545908
16075,-0.333333,0.9,0.7,0.1,1.28162382
