"Zeitstempel","Geschlecht","Wie alt sind Sie?","Bitte wählen Sie Ihre höchste abgeschlossene Ausbildung","In welcher Branche sind Sie tätig?","Wo wohnen Sie?","Was beschreibt Ihre Ernährung am besten?","Essen Sie Leberkäse (auch vegetarisch/vegan)?","Wie oft essen Sie Leberkäse?","Was ist Ihre Lieblingssorte?","Wie spontan entscheiden Sie sich, Leberkäse zu kaufen?","Warum essen Sie keinen Leberkäse?","Essen Sie gerne Essen mit spürbarer Schärfe?","Wie scharf essen Sie normalerweise?","Mögen Sie Essen aus den folgenden kulinarischen Regionen?","Wie oft im Jahr kaufen Sie online Kleidung? (für sich selbst)","Ist es schon einmal vorgekommen, dass Ihnen die Größe eines Artikels (Kleidung) bei einer Bestellung nicht gepasst hat?","In wie vielen Größen bestellen Sie den selben Artikel (um garantiert eine passende Größe zu erhalten)?","Wie viele Artikel kaufen Sie circa in einem Jahr?","Wie viele Artikel werden von Ihnen circa zurückgesendet?","An wie vielen Tagen in der Woche verwenden Sie öffentliche Verkehrsmittel?","Welche öffentliche(n) Verkehrsmittel verwenden Sie?","Wofür verwenden Sie öffentliche Verkehrsmittel?","Welche Aspekte könnte man verbessern, damit Sie öfter öffentliche Verkehrsmittel verwenden?","Zahlen Sie persönlich Fixkosten für das Wohnen? (Miete/Kredit)"," Sie können Ihre Grundbedürfnisse...","Haben Sie seit den Teuerungen Ihr Kaufverhalten verändert?","Wie sieht Ihre Wohnsituation aus?","Gehen Sie seit der Teuerung weniger oft essen?","Kaufen Sie seit der Teuerung weniger Luxusartikel? Denken Sie hier an Güter, die Sie nicht benötigen, um Ihre Grundbedürfnisse zu decken, wie z.B. Kleidung, Accessoires, elektronische Geräte, … ","Teil 1: Wie ist Ihre politische Einstellung?","Teil 2: Wie ist Ihre politische Einstellung?"
"2023/03/24 4:45:41 PM OEZ","Weiblich","20 - 29","Bachelorstudium","Software & IT-Services","Land","Omnivor (tierische und pflanzliche Lebensmittel)","Ja","einmal im Monat","Käse & Pikant","meistens spontan","","Ja","2","Italienisch;Österreichisch;Chinesisch;Mexikanisch;Indisch;Thailändisch;Alles außer Beuschl","speziell zu Sales und Abverkäufen","Ja","in mehreren Größen","30","10","0 Tage","","","Infrastruktur (z.B.: bessere Anbindung, kürzere Wartezeiten);Preis (z.B.: günstigere Einzelkarten, günstigere Jahreskarten, mehr Angebote)","Nein","...decken und Geld ansparen.","Ja","","Ja","Ja","2","2"
"2023/03/24 4:50:15 PM OEZ","Männlich","20 - 29","Bachelorstudium","Ausbildung","Stadt","Omnivor (tierische und pflanzliche Lebensmittel)","Ja","mehrmals pro Woche","Normal (ohne Käse, ohne Schärfe, keine spezielle Verarbeitung)","oft geplant","","Ja","1","Österreichisch","zwei bis vier Mal im Jahr","Ja","in einer Größe","2","1","0 Tage","","","Infrastruktur (z.B.: bessere Anbindung, kürzere Wartezeiten);Komfort (z.B.: mehr Sitzmöglichkeiten, bequemere Sitze,...)","Nein","...decken und Geld ansparen.","Ja","","Nein","Nein","3","3"
"2023/03/24 5:02:32 PM OEZ","Weiblich","20 - 29","Bachelorstudium","Ausbildung","Land","Vegetarisch (kein Fleisch und Fisch)","Ja","weniger als einmal im Monat","Käse","meistens spontan","","Ja","3","Italienisch;Österreichisch;Chinesisch;Mexikanisch;Indisch","zwei bis vier Mal im Jahr","Ja","in mehreren Größen","3","1","0 Tage","","","Infrastruktur (z.B.: bessere Anbindung, kürzere Wartezeiten);Preis (z.B.: günstigere Einzelkarten, günstigere Jahreskarten, mehr Angebote)","Ja","...decken und Geld ansparen.","Ja","WG oder Studentenheim","Ja","Ja","4","4"
"2023/03/24 7:13:09 PM OEZ","Männlich","20 - 29","Bachelorstudium","Software & IT-Services","Land","Omnivor (tierische und pflanzliche Lebensmittel)","Ja","mehrmals im Monat","Käse & Pikant","meistens spontan","","Ja","4","Italienisch;Chinesisch;Indisch;Thailändisch","zwei bis vier Mal im Jahr","Ja","in einer Größe","6","0","0 Tage","","","Infrastruktur (z.B.: bessere Anbindung, kürzere Wartezeiten);Preis (z.B.: günstigere Einzelkarten, günstigere Jahreskarten, mehr Angebote)","Ja","...decken und Geld ansparen.","Nein","WG oder Studentenheim","","","2","1"
"2023/03/24 8:31:05 PM OEZ","Weiblich","30 - 39","Bachelorstudium","Dienstleistungen für Unternehmen","Land","Vegan (keine tierischen Produkte)","Nein","","","","Sie leiden an Unverträglichkeiten","Nein","","Chinesisch","gar nicht","","","","","0 Tage","","","Infrastruktur (z.B.: bessere Anbindung, kürzere Wartezeiten)","Nein","...decken.","Nein","","","","2","3"
"2023/03/25 9:25:53 AM OEZ","Männlich","20 - 29","Bachelorstudium","Software & IT-Services","Stadt","Omnivor (tierische und pflanzliche Lebensmittel)","Ja","mehrmals im Monat","Pikant","meistens spontan","","Ja","2","Italienisch;Österreichisch;Chinesisch;Mexikanisch;Indisch","gar nicht","","","","","0 Tage","","","Infrastruktur (z.B.: bessere Anbindung, kürzere Wartezeiten)","Nein","...decken und Geld ansparen.","Ja","","Ja","Ja","2","3"
"2023/03/27 8:03:27 PM OEZ","Weiblich","10 - 19","Pflichtschule","Ausbildung","Land","Omnivor (tierische und pflanzliche Lebensmittel)","Ja","weniger als einmal im Monat","Käse","oft spontan","","Nein","","Italienisch;Österreichisch;Chinesisch;Mexikanisch;Indisch","circa einmal im Monat","Ja","in mehreren Größen","150","40","1 Tag","Bus","Arbeit/Ausbildung","Infrastruktur (z.B.: bessere Anbindung, kürzere Wartezeiten);Preis (z.B.: günstigere Einzelkarten, günstigere Jahreskarten, mehr Angebote)","Nein","...decken und Geld ansparen.","Nein","","","","2","3"
"2023/03/28 1:18:24 PM OEZ","Weiblich","30 - 39","Masterstudium","Software & IT-Services","Stadt","Omnivor (tierische und pflanzliche Lebensmittel)","Ja","mehrmals im Monat","Normal (ohne Käse, ohne Schärfe, keine spezielle Verarbeitung)","meistens spontan","","Ja","3","Österreichisch;Chinesisch;Mexikanisch","circa alle zwei Monate","Ja","in mehreren Größen","2","12","7 Tage","Bus;Zug","Freizeit","Preis (z.B.: günstigere Einzelkarten, günstigere Jahreskarten, mehr Angebote)","Ja","...decken und Geld ansparen.","Ja","Eigentum","Ja","Ja","3","3"
"2023/03/28 1:31:29 PM OEZ","Weiblich","20 - 29","Masterstudium","Software & IT-Services","Stadt","Omnivor (tierische und pflanzliche Lebensmittel)","Ja","einmal im Monat","Käse","meistens spontan","","Ja","3","Italienisch;Österreichisch;Chinesisch;Mexikanisch;Indisch;Thailändisch","zwei bis vier Mal im Jahr","Ja","in einer Größe","5","1","0 Tage","","","Infrastruktur (z.B.: bessere Anbindung, kürzere Wartezeiten);Preis (z.B.: günstigere Einzelkarten, günstigere Jahreskarten, mehr Angebote);Komfort (z.B.: mehr Sitzmöglichkeiten, bequemere Sitze,...)","Ja","...decken.","Ja","Miete","Ja","Ja","2","2"
"2023/03/28 1:32:25 PM OEZ","Männlich","20 - 29","Masterstudium","Software & IT-Services","Stadt","Omnivor (tierische und pflanzliche Lebensmittel)","Ja","weniger als einmal im Monat","Normal (ohne Käse, ohne Schärfe, keine spezielle Verarbeitung)","meistens geplant","","Ja","3","Italienisch;Österreichisch;Chinesisch;Mexikanisch","zwei bis vier Mal im Jahr","Nein","in einer Größe","3","1","5 Tage","Bus;Zug;Straßenbahn","Beides","Infrastruktur (z.B.: bessere Anbindung, kürzere Wartezeiten);Preis (z.B.: günstigere Einzelkarten, günstigere Jahreskarten, mehr Angebote);Komfort (z.B.: mehr Sitzmöglichkeiten, bequemere Sitze,...);Gesundheit (z.B.: FFP2 Maskenpflicht, bessere Hygiene,...)","Nein","...decken und Geld ansparen.","Nein","","","","3","3"
