Week,Author,Title,Price,ISBN,Rank,Category
1,R.J. Palacio,Wonder,16.99,9781524720193.0,1,Early & Middle
1,Madeleine L'Engle,A Wrinkle in Time,8.99,9781250153272.0,2,Early & Middle
1,R.J. Palacio,Auggie & Me,16.99,9781101934852.0,3,Early & Middle
1,Kelly Barnhill,The Girl Who Drank the Moon,16.95,9781616205676.0,4,Early & Middle
1,Victoria Jamieson,All's Faire in Middle School,12.99,9780525429999.0,5,Early & Middle
1,Raina Telgemeier,Drama,10.99,9780545326995.0,6,Early & Middle
1,Pablo Hidalgo,Star Wars the Last Jedi: The Visual Dictionary,22.99,9781465455512.0,7,Early & Middle
1,Raina Telgemeier,Smile,10.99,9780545132060.0,8,Early & Middle
1,Kimberly Brubaker Bradley,The War That Saved My Life,8.99,9780147510488.0,9,Early & Middle
1,Raina Telgemeier,Ghosts,10.99,9780545540629.0,10,Early & Middle
1,Katherine Applegate,Wishtree,16.99,9781250043221.0,11,Early & Middle
1,R.J. Palacio,365 Days of Wonder: Mr. Browne's Precepts,9.99,9780399559181.0,12,Early & Middle
1,Jessica Townsend,Nevermoor: The Trials of Morrigan Crow,17.99,9780316508889.0,13,Early & Middle
1,Raina Telgemeier,Sisters,10.99,9780545540605.0,14,Early & Middle
1,Pete Souza,Dream Big Dreams: Photographs from Barack Obama's Inspiring and Historic Presidency,21.99,9780316514392.0,15,Early & Middle
1,Andy Weir,Artemis,27.0,9780553448122.0,1,Hardcover Fiction
1,Dan Brown,Origin,29.95,9780385514231.0,2,Hardcover Fiction
1,Amor Towles,A Gentleman in Moscow,27.0,9780670026197.0,3,Hardcover Fiction
1,Jesmyn Ward,"Sing, Unburied, Sing",26.0,9781501126062.0,4,Hardcover Fiction
1,Jennifer Egan,Manhattan Beach,27.0,9781476716732.0,5,Hardcover Fiction
1,John Grisham,The Rooster Bar,28.95,9780385541176.0,6,Hardcover Fiction
1,Celeste Ng,Little Fires Everywhere,27.0,9780735224292.0,7,Hardcover Fiction
1,George Saunders,Lincoln in the Bardo,28.0,9780812995343.0,8,Hardcover Fiction
1,Tom Hanks,Uncommon Type,26.95,9781101946152.0,9,Hardcover Fiction
1,Isabel Allende,In the Midst of Winter,28.0,9781501178139.0,10,Hardcover Fiction
1,Lee Child,The Midnight Line,28.99,9780399593482.0,11,Hardcover Fiction
1,Neil Gaiman,Norse Mythology,25.95,9780393609097.0,12,Hardcover Fiction
1,John le Carré,A Legacy of Spies,28.0,9780735225114.0,13,Hardcover Fiction
1,Mary Oliver,Devotions,30.0,9780399563249.0,14,Hardcover Fiction
1,Mohsin Hamid,Exit West,26.0,9780735212176.0,15,Hardcover Fiction
1,Walter Isaacson,Leonardo da Vinci,35.0,9781501139154.0,1,Hardcover Nonfiction
1,Neil deGrasse Tyson,Astrophysics for People in a Hurry,18.95,9780393609394.0,2,Hardcover Nonfiction
1,Mark Manson,The Subtle Art of Not Giving A F*ck,24.99,9780062457714.0,3,Hardcover Nonfiction
1,Ron Chernow,Grant,40.0,9781594204876.0,4,Hardcover Nonfiction
1,Mary Beard,Women & Power: A Manifesto,15.95,9781631494758.0,5,Hardcover Nonfiction
1,Joe Biden,"Promise Me, Dad",27.0,9781250171672.0,6,Hardcover Nonfiction
1,Ta-Nehisi Coates,We Were Eight Years in Power,28.0,9780399590566.0,7,Hardcover Nonfiction
1,Ray Dalio,Principles,30.0,9781501124020.0,8,Hardcover Nonfiction
1,Tiffany Haddish,The Last Black Unicorn,26.0,9781501181825.0,9,Hardcover Nonfiction
1,J.D. Vance,Hillbilly Elegy,27.99,9780062300546.0,10,Hardcover Nonfiction
1,David Grann,Killers of the Flower Moon,28.95,9780385534246.0,11,Hardcover Nonfiction
1,Peter Wohlleben,The Hidden Life of Trees,24.95,9781771642484.0,12,Hardcover Nonfiction
1,Peter Wohlleben,The Inner Life of Animals,24.95,9781771643016.0,13,Hardcover Nonfiction
1,Chris Matthews,Bobby Kennedy: A Raging Spirit,28.0,9781501111860.0,14,Hardcover Nonfiction
1,Hillary Rodham Clinton,What Happened,30.0,9781501175565.0,15,Hardcover Nonfiction
1,Michael Crichton,Dragon Teeth,9.99,9780062473363.0,1,Mass Market
1,John Grisham,The Whistler,9.99,9781101967683.0,2,Mass Market
1,Agatha Christie,Murder on the Orient Express,9.99,9780062693662.0,3,Mass Market
1,James Patterson,Never Never,9.99,9781478944782.0,4,Mass Market
1,Liane Moriarty,The Husband's Secret,9.99,9780451490049.0,5,Mass Market
1,Danielle Steel,Dangerous Games,8.99,9781101883907.0,6,Mass Market
1,Ernest Cline,Ready Player One,9.99,9781524763282.0,7,Mass Market
1,Patrick Rothfuss,The Name of the Wind,9.99,9780756404741.0,8,Mass Market
1,Nicholas Sparks,Safe Haven,8.99,9781478948377.0,9,Mass Market
1,Doug Stanton,12 Strong,9.99,9781501179952.0,10,Mass Market
1,Anthony Doerr,All the Light We Cannot See,17.0,9781501173219.0,1,Trade Paperback Fiction
1,Rupi Kaur,The Sun and Her Flowers,16.99,9781449486792.0,2,Trade Paperback Fiction
1,Rupi Kaur,Milk and Honey,14.99,9781449474256.0,3,Trade Paperback Fiction
1,Ruth Ware,The Woman in Cabin 10,16.0,9781501132957.0,4,Trade Paperback Fiction
1,Ernest Cline,Ready Player One,16.0,9780307887443.0,5,Trade Paperback Fiction
1,Margaret Atwood,The Handmaid's Tale,15.95,9780525435006.0,6,Trade Paperback Fiction
