Week,Author,Title,Price,ISBN,Category,PriceCategory
2018-02-21, Jim McCann ,Marvel's Black Panther: The Junior Novel ,6.99,  9780316413206,Early & Middle,0
2018-01-03,Old Farmer's Almanac,The Old Farmer's Almanac 2018,7.95,9781571987358.0,Trade Paperback Nonfiction,0
2018-01-10,Chimamanda Ngozi Adichie,We Should All Be Feminists,7.95,9781101911761.0,Trade Paperback Nonfiction,0
2018-02-21, Chimamanda Ngozi Adichie ,We Should All Be Feminists ,7.95,  9781101911761,Trade Paperback Nonfiction,0
2018-01-03,Timothy Snyder,On Tyranny,7.99,9780804190114.0,Trade Paperback Nonfiction,0
2018-02-07, Katherine Applegate ,The One and Only Ivan ,7.99,  9780061992278,Early & Middle,0
2018-02-07, Timothy Snyder ,On Tyranny ,7.99,  9780804190114,Trade Paperback Nonfiction,0
2018-02-14, Katherine Applegate & Patricia Castelao (Illus.) ,The One and Only Ivan ,7.99,  9780061992278,Early & Middle,0
2018-01-03,Madeleine L'Engle,A Wrinkle in Time,8.99,9781250153272.0,Early & Middle,0
2018-01-03,Kimberly Brubaker Bradley,The War That Saved My Life,8.99,9780147510488.0,Early & Middle,0
2018-01-03,Danielle Steel,Dangerous Games,8.99,9781101883907.0,Mass Market,0
2018-01-03,Nicholas Sparks,Safe Haven,8.99,9781478948377.0,Mass Market,0
2018-01-31,Danielle Steel,Against All Odds,8.99,9781101883938.0,Mass Market,0
2018-02-07, Madeleine L'Engle ,A Wrinkle in Time ,8.99,  9781250153272,Early & Middle,0
2018-02-07, Kimberly Brubaker Bradley ,The War That Saved My Life ,8.99,  9780147510488,Early & Middle,0
2018-02-07, Danielle Steel ,Against All Odds ,8.99,  9781101883938,Mass Market,0
2018-02-14, Thich Nhat Hanh ,How to Love ,9.95,  9781937006884,Trade Paperback Nonfiction,0
2018-01-03,R.J. Palacio,365 Days of Wonder: Mr. Browne's Precepts,9.99,9780399559181.0,Early & Middle,0
2018-01-03,Michael Crichton,Dragon Teeth,9.99,9780062473363.0,Mass Market,0
2018-01-03,John Grisham,The Whistler,9.99,9781101967683.0,Mass Market,0
2018-01-03,Agatha Christie,Murder on the Orient Express,9.99,9780062693662.0,Mass Market,0
2018-01-03,James Patterson,Never Never,9.99,9781478944782.0,Mass Market,0
