,Author,ISBN,Previous Rank,Price,Rank,Title,Weeks on List,Category
0,R.J. Palacio,9781524720193.0,,16.99,1,Wonder,,Early & Middle
1,Andy Weir,9780553448122.0,1.0,27.0,1,Artemis,7.0,Hardcover Fiction
2,Walter Isaacson,9781501139154.0,1.0,35.0,1,Leonardo da Vinci,11.0,Hardcover Nonfiction
3,Michael Crichton,9780062473363.0,1.0,9.99,1,Dragon Teeth,5.0,Mass Market
4,Anthony Doerr,9781501173219.0,1.0,17.0,1,All the Light We Cannot See,39.0,Trade Paperback Fiction
5,Jen Sincero,9780762447695.0,1.0,16.0,1,You Are a Badass,128.0,Trade Paperback Nonfiction
6,John Green,9780525555360.0,,19.99,1,Turtles All the Way Down,,Young Adult
7,Madeleine L'Engle,9781250153272.0,,8.99,2,A Wrinkle in Time,,Early & Middle
8,Dan Brown,9780385514231.0,2.0,29.95,2,Origin,13.0,Hardcover Fiction
9,Neil deGrasse Tyson,9780393609394.0,2.0,18.95,2,Astrophysics for People in a Hurry,35.0,Hardcover Nonfiction
10,John Grisham,9781101967683.0,2.0,9.99,2,The Whistler,25.0,Mass Market
11,Rupi Kaur,9781449486792.0,2.0,16.99,2,The Sun and Her Flowers,13.0,Trade Paperback Fiction
12,Atul Gawande,9781250076229.0,2.0,16.0,2,Being Mortal,17.0,Trade Paperback Nonfiction
13,Angie Thomas,9780062498533.0,,17.99,2,The Hate U Give,,Young Adult
14,R.J. Palacio,9781101934852.0,,16.99,3,Auggie & Me,,Early & Middle
15,Amor Towles,9780670026197.0,4.0,27.0,3,A Gentleman in Moscow,69.0,Hardcover Fiction
16,Mark Manson,9780062457714.0,6.0,24.99,3,The Subtle Art of Not Giving A F*ck,39.0,Hardcover Nonfiction
17,Agatha Christie,9780062693662.0,3.0,9.99,3,Murder on the Orient Express,9.0,Mass Market
18,Rupi Kaur,9781449474256.0,4.0,14.99,3,Milk and Honey,69.0,Trade Paperback Fiction
19,Peter Frankopan,9781101912379.0,5.0,20.0,3,The Silk Roads,5.0,Trade Paperback Nonfiction
20,Philip Pullman,9780375815300.0,,22.99,3,The Book of Dust: La Belle Sauvage,,Young Adult
21,Kelly Barnhill,9781616205676.0,,16.95,4,The Girl Who Drank the Moon,,Early & Middle
22,Jesmyn Ward,9781501126062.0,7.0,26.0,4,"Sing, Unburied, Sing",13.0,Hardcover Fiction
23,Ron Chernow,9781594204876.0,3.0,40.0,4,Grant,12.0,Hardcover Nonfiction
24,James Patterson,9781478944782.0,,9.99,4,Never Never,1.0,Mass Market
25,Ruth Ware,9781501132957.0,6.0,16.0,4,The Woman in Cabin 10,38.0,Trade Paperback Fiction
26,Douglas Preston,9781455540013.0,3.0,15.99,4,The Lost City of the Monkey God,16.0,Trade Paperback Nonfiction
27,Marissa Meyer,9781250044662.0,,19.99,4,Renegades,,Young Adult
28,Victoria Jamieson,9780525429999.0,,12.99,5,All's Faire in Middle School,,Early & Middle
29,Jennifer Egan,9781476716732.0,3.0,27.0,5,Manhattan Beach,13.0,Hardcover Fiction
30,Mary Beard,9781631494758.0,7.0,15.95,5,Women & Power: A Manifesto,3.0,Hardcover Nonfiction
31,Liane Moriarty,9780451490049.0,10.0,9.99,5,The Husband's Secret,24.0,Mass Market
32,Ernest Cline,9780307887443.0,3.0,16.0,5,Ready Player One,21.0,Trade Paperback Fiction
33,Michael Lewis,9780393354775.0,4.0,16.95,5,The Undoing Project,9.0,Trade Paperback Nonfiction
34,Nicola Yoon,9781524769604.0,,10.99,5,"Everything, Everything",,Young Adult
35,Raina Telgemeier,9780545326995.0,,10.99,6,Drama,,Early & Middle
36,John Grisham,9780385541176.0,6.0,28.95,6,The Rooster Bar,10.0,Hardcover Fiction
37,Joe Biden,9781250171672.0,4.0,27.0,6,"Promise Me, Dad",7.0,Hardcover Nonfiction
38,Danielle Steel,9781101883907.0,8.0,8.99,6,Dangerous Games,3.0,Mass Market
39,Margaret Atwood,9780525435006.0,7.0,15.95,6,The Handmaid's Tale,36.0,Trade Paperback Fiction
40,Jonah Berger,9781476759739.0,9.0,16.0,6,Invisible Influence,28.0,Trade Paperback Nonfiction
41,Robin Benway,9780062330628.0,,17.99,6,Far From the Tree,,Young Adult
42,Pablo Hidalgo,9781465455512.0,,22.99,7,Star Wars the Last Jedi: The Visual Dictionary,,Early & Middle
43,Celeste Ng,9780735224292.0,8.0,27.0,7,Little Fires Everywhere,16.0,Hardcover Fiction
44,Ta-Nehisi Coates,9780399590566.0,8.0,28.0,7,We Were Eight Years in Power,13.0,Hardcover Nonfiction
45,Ernest Cline,9781524763282.0,5.0,9.99,7,Ready Player One,9.0,Mass Market
46,Min Jin Lee,9781455563920.0,8.0,15.99,7,Pachinko,7.0,Trade Paperback Fiction
47,Alexandra Horowitz,9781476796024.0,6.0,17.0,7,Being a Dog,11.0,Trade Paperback Nonfiction
48,Marie Lu,9780399547966.0,,18.99,7,Warcross,,Young Adult
49,Raina Telgemeier,9780545132060.0,,10.99,8,Smile,,Early & Middle
50,George Saunders,9780812995343.0,5.0,28.0,8,Lincoln in the Bardo,35.0,Hardcover Fiction
51,Ray Dalio,9781501124020.0,,30.0,8,Principles,6.0,Hardcover Nonfiction
52,Patrick Rothfuss,9780756404741.0,6.0,9.99,8,The Name of the Wind,49.0,Mass Market
53,Martha Hall Kelly,9781101883082.0,5.0,17.0,8,Lilac Girls,44.0,Trade Paperback Fiction
54,Timothy Snyder,9780804190114.0,7.0,7.99,8,On Tyranny,42.0,Trade Paperback Nonfiction
55,Nicola Yoon,9780553496680.0,,18.99,8,The Sun Is Also a Star,,Young Adult
56,Kimberly Brubaker Bradley,9780147510488.0,,8.99,9,The War That Saved My Life,,Early & Middle
57,Tom Hanks,9781101946152.0,9.0,26.95,9,Uncommon Type,11.0,Hardcover Fiction
58,Tiffany Haddish,9781501181825.0,,26.0,9,The Last Black Unicorn,1.0,Hardcover Nonfiction
59,Nicholas Sparks,9781478948377.0,,8.99,9,Safe Haven,1.0,Mass Market
60,Shari Lapena,9780735221109.0,11.0,16.0,9,The Couple Next Door,31.0,Trade Paperback Fiction
61,Doug Stanton,9781501178511.0,,18.0,9,12 Strong: The Declassified True Story of the Horse Soldiers,1.0,Trade Paperback Nonfiction
62,John Green,9780142424179.0,,12.99,9,The Fault in Our Stars,,Young Adult
63,Raina Telgemeier,9780545540629.0,,10.99,10,Ghosts,,Early & Middle
64,Isabel Allende,9781501178139.0,12.0,28.0,10,In the Midst of Winter,9.0,Hardcover Fiction
65,J.D. Vance,9780062300546.0,14.0,27.99,10,Hillbilly Elegy,70.0,Hardcover Nonfiction
66,Doug Stanton,9781501179952.0,,9.99,10,12 Strong,1.0,Mass Market
67,Fredrik Backman,9781476738024.0,9.0,16.0,10,A Man Called Ove,112.0,Trade Paperback Fiction
68,Robert Moor,9781476739236.0,8.0,16.0,10,On Trails,26.0,Trade Paperback Nonfiction
69,Ruta Sepetys,9780142423622.0,,10.99,10,Salt to the Sea,,Young Adult
70,Katherine Applegate,9781250043221.0,,16.99,11,Wishtree,,Early & Middle
71,Lee Child,9780399593482.0,10.0,28.99,11,The Midnight Line,8.0,Hardcover Fiction
72,David Grann,9780385534246.0,11.0,28.95,11,Killers of the Flower Moon,26.0,Hardcover Nonfiction
73,B.A. Paris,9781250132369.0,,16.99,11,Behind Closed Doors,25.0,Trade Paperback Fiction
74,Harvard Business School Press,9781633690196.0,,24.95,11,HBR's 10 Must Reads on Emotional Intelligence,70.0,Trade Paperback Nonfiction
75,Neal Shusterman,9781442472433.0,,11.99,11,Scythe,,Young Adult
76,R.J. Palacio,9780399559181.0,,9.99,12,365 Days of Wonder: Mr. Browne's Precepts,,Early & Middle
77,Neil Gaiman,9780393609097.0,13.0,25.95,12,Norse Mythology,31.0,Hardcover Fiction
