iteration;energy
0;-60.0
1;-64.0
2;-64.0
3;-72.0
4;-72.0
5;-72.0
6;-72.0
7;-72.0
8;-72.0
9;-72.0
10;-72.0
11;-72.0
12;-72.0
13;-72.0
14;-72.0
15;-72.0
16;-72.0
17;-72.0
18;-72.0
19;-72.0
20;-72.0
21;-72.0
22;-72.0
23;-72.0
24;-72.0
25;-72.0
26;-72.0
27;-72.0
28;-72.0
29;-72.0
30;-72.0
31;-72.0
32;-72.0
33;-72.0
34;-72.0
35;-72.0
36;-72.0
37;-72.0
38;-72.0
39;-72.0
40;-72.0
41;-72.0
42;-72.0
43;-72.0
44;-72.0
45;-72.0
46;-72.0
47;-72.0
48;-72.0
49;-72.0
50;-72.0
51;-72.0
52;-72.0
53;-72.0
54;-72.0
55;-72.0
56;-80.0
57;-80.0
58;-80.0
59;-80.0
60;-80.0
61;-80.0
62;-80.0
63;-80.0
64;-80.0
65;-80.0
66;-80.0
67;-80.0
68;-80.0
69;-80.0
70;-80.0
71;-80.0
72;-80.0
73;-80.0
74;-80.0
75;-80.0
76;-80.0
77;-80.0
78;-80.0
79;-80.0
80;-80.0
81;-80.0
82;-80.0
83;-80.0
84;-80.0
85;-80.0
86;-80.0
87;-80.0
88;-80.0
89;-80.0
90;-80.0
91;-80.0
92;-80.0
93;-80.0
94;-80.0
95;-80.0
96;-80.0
97;-80.0
98;-80.0
99;-80.0
100;-80.0
101;-80.0
102;-80.0
103;-80.0
104;-80.0
105;-80.0
106;-80.0
107;-80.0
108;-80.0
109;-80.0
110;-80.0
111;-80.0
112;-80.0
113;-80.0
114;-80.0
115;-80.0
116;-80.0
117;-80.0
118;-80.0
119;-80.0
120;-80.0
121;-80.0
122;-80.0
123;-80.0
124;-80.0
125;-80.0
126;-80.0
127;-80.0
128;-80.0
129;-80.0
130;-80.0
131;-80.0
132;-80.0
133;-80.0
134;-80.0
135;-80.0
136;-80.0
137;-80.0
138;-80.0
139;-80.0
140;-80.0
141;-80.0
142;-80.0
143;-80.0
144;-80.0
145;-80.0
146;-80.0
147;-80.0
148;-80.0
149;-80.0
150;-80.0
151;-80.0
152;-80.0
153;-80.0
154;-80.0
155;-80.0
156;-80.0
