iteration;energy
0;-63.0
1;-69.0
2;-69.0
3;-69.0
4;-69.0
5;-69.0
6;-74.0
7;-74.0
8;-74.0
9;-78.0
10;-78.0
11;-78.0
12;-78.0
13;-78.0
14;-78.0
15;-78.0
16;-78.0
17;-78.0
18;-78.0
19;-78.0
20;-78.0
21;-78.0
22;-78.0
23;-78.0
24;-78.0
25;-78.0
26;-78.0
27;-78.0
28;-78.0
29;-78.0
30;-78.0
31;-78.0
32;-78.0
33;-78.0
34;-78.0
35;-78.0
36;-78.0
37;-78.0
38;-78.0
39;-78.0
40;-78.0
41;-78.0
42;-78.0
43;-78.0
44;-87.0
45;-87.0
46;-87.0
47;-87.0
48;-87.0
49;-87.0
50;-87.0
51;-87.0
52;-87.0
53;-87.0
54;-87.0
55;-87.0
56;-87.0
57;-87.0
58;-87.0
59;-87.0
60;-87.0
61;-87.0
62;-87.0
63;-87.0
64;-87.0
65;-87.0
66;-87.0
67;-87.0
68;-87.0
69;-87.0
70;-87.0
71;-87.0
72;-87.0
73;-87.0
74;-87.0
75;-87.0
76;-87.0
77;-87.0
78;-87.0
79;-87.0
80;-87.0
81;-87.0
82;-87.0
83;-87.0
84;-87.0
85;-87.0
86;-87.0
87;-87.0
88;-87.0
89;-87.0
90;-87.0
91;-87.0
92;-87.0
93;-87.0
94;-87.0
95;-87.0
96;-87.0
97;-87.0
98;-87.0
99;-87.0
100;-87.0
101;-87.0
102;-87.0
103;-87.0
104;-87.0
105;-87.0
106;-87.0
107;-87.0
108;-87.0
109;-87.0
110;-87.0
111;-87.0
112;-87.0
113;-87.0
114;-87.0
115;-87.0
116;-87.0
117;-87.0
118;-87.0
119;-87.0
120;-87.0
121;-87.0
122;-87.0
123;-87.0
124;-87.0
125;-87.0
126;-87.0
127;-87.0
128;-87.0
129;-87.0
130;-87.0
131;-87.0
132;-87.0
133;-87.0
134;-87.0
135;-87.0
136;-87.0
137;-87.0
138;-87.0
139;-87.0
140;-87.0
141;-87.0
142;-87.0
143;-87.0
