iteration;energy
0;-568.0
1;-576.0
2;-576.0
3;-576.0
4;-576.0
5;-576.0
6;-576.0
7;-576.0
8;-576.0
9;-576.0
10;-576.0
11;-576.0
12;-576.0
13;-576.0
14;-576.0
15;-576.0
16;-576.0
17;-576.0
18;-576.0
19;-576.0
20;-576.0
21;-576.0
22;-576.0
23;-576.0
24;-576.0
25;-576.0
26;-576.0
27;-576.0
28;-576.0
29;-576.0
30;-576.0
31;-576.0
32;-576.0
33;-576.0
34;-576.0
35;-576.0
36;-576.0
37;-576.0
38;-576.0
39;-620.0
40;-620.0
41;-620.0
42;-620.0
43;-620.0
44;-620.0
45;-620.0
46;-620.0
47;-663.0
48;-663.0
49;-663.0
50;-663.0
51;-663.0
52;-663.0
53;-663.0
54;-663.0
55;-663.0
56;-663.0
57;-663.0
58;-663.0
59;-663.0
60;-663.0
61;-663.0
62;-663.0
63;-663.0
64;-663.0
65;-663.0
66;-663.0
67;-663.0
68;-663.0
69;-663.0
70;-663.0
71;-663.0
72;-663.0
73;-663.0
74;-663.0
75;-663.0
76;-663.0
77;-663.0
78;-663.0
79;-663.0
80;-663.0
81;-663.0
82;-663.0
83;-663.0
84;-663.0
85;-663.0
86;-663.0
87;-663.0
88;-663.0
89;-663.0
90;-663.0
91;-663.0
92;-663.0
93;-663.0
94;-663.0
95;-663.0
96;-663.0
97;-663.0
98;-663.0
99;-663.0
100;-663.0
101;-663.0
102;-663.0
103;-663.0
104;-663.0
105;-663.0
106;-663.0
107;-663.0
108;-663.0
109;-663.0
110;-663.0
111;-663.0
112;-663.0
113;-663.0
114;-663.0
115;-663.0
116;-663.0
117;-663.0
118;-663.0
119;-663.0
120;-663.0
121;-663.0
122;-663.0
123;-663.0
124;-663.0
125;-663.0
126;-663.0
127;-663.0
128;-663.0
129;-663.0
130;-663.0
131;-663.0
132;-663.0
133;-663.0
134;-663.0
135;-663.0
136;-663.0
137;-663.0
138;-663.0
139;-663.0
140;-663.0
141;-663.0
142;-663.0
143;-663.0
144;-663.0
145;-663.0
146;-663.0
147;-663.0
148;-663.0
149;-663.0
150;-663.0
151;-663.0
152;-663.0
153;-663.0
154;-663.0
155;-663.0
156;-663.0
157;-663.0
158;-663.0
159;-663.0
160;-663.0
161;-663.0
162;-663.0
163;-663.0
164;-663.0
165;-663.0
166;-663.0
167;-663.0
168;-663.0
169;-663.0
170;-663.0
171;-663.0
172;-663.0
173;-663.0
174;-663.0
175;-663.0
176;-663.0
177;-663.0
178;-663.0
179;-663.0
180;-663.0
181;-663.0
182;-663.0
183;-663.0
184;-663.0
185;-663.0
186;-663.0
187;-663.0
188;-663.0
189;-663.0
190;-663.0
191;-663.0
192;-663.0
193;-663.0
194;-663.0
195;-663.0
196;-663.0
197;-663.0
198;-663.0
199;-663.0
