iteration;energy
0;-65.0
1;-65.0
2;-65.0
3;-65.0
4;-65.0
5;-65.0
6;-65.0
7;-65.0
8;-65.0
9;-65.0
10;-65.0
11;-65.0
12;-65.0
13;-67.0
14;-70.0
15;-70.0
16;-70.0
17;-70.0
18;-70.0
19;-70.0
20;-70.0
21;-70.0
22;-71.0
23;-71.0
24;-71.0
25;-71.0
26;-71.0
27;-71.0
28;-71.0
29;-71.0
30;-71.0
31;-71.0
32;-71.0
33;-71.0
34;-71.0
35;-71.0
36;-71.0
37;-71.0
38;-71.0
39;-71.0
40;-71.0
41;-72.0
42;-80.0
43;-80.0
44;-80.0
45;-80.0
46;-80.0
47;-80.0
48;-80.0
49;-80.0
50;-80.0
51;-80.0
52;-80.0
53;-80.0
54;-80.0
55;-80.0
56;-80.0
57;-80.0
58;-80.0
59;-80.0
60;-80.0
61;-80.0
62;-80.0
63;-80.0
64;-80.0
65;-80.0
66;-80.0
67;-80.0
68;-80.0
69;-80.0
70;-80.0
71;-80.0
72;-80.0
73;-80.0
74;-80.0
75;-80.0
76;-80.0
77;-80.0
78;-80.0
79;-80.0
80;-80.0
81;-80.0
82;-80.0
83;-80.0
84;-80.0
85;-80.0
86;-80.0
87;-80.0
88;-80.0
89;-80.0
90;-80.0
91;-80.0
92;-80.0
93;-80.0
94;-80.0
95;-80.0
96;-80.0
97;-80.0
98;-80.0
99;-80.0
100;-80.0
101;-80.0
102;-80.0
103;-80.0
104;-80.0
105;-80.0
106;-80.0
107;-80.0
108;-80.0
109;-80.0
110;-80.0
111;-80.0
112;-80.0
113;-80.0
114;-80.0
115;-80.0
116;-80.0
117;-80.0
118;-80.0
119;-80.0
120;-80.0
121;-80.0
122;-80.0
123;-80.0
124;-80.0
125;-80.0
126;-80.0
127;-80.0
128;-80.0
129;-80.0
130;-80.0
131;-80.0
132;-80.0
133;-80.0
134;-80.0
135;-80.0
136;-80.0
137;-80.0
138;-80.0
139;-80.0
140;-80.0
141;-80.0
142;-80.0
143;-80.0
144;-80.0
145;-80.0
146;-80.0
147;-80.0
148;-80.0
149;-80.0
150;-80.0
151;-80.0
152;-80.0
153;-80.0
154;-80.0
155;-80.0
156;-80.0
157;-80.0
158;-80.0
159;-80.0
160;-80.0
161;-80.0
162;-80.0
163;-80.0
164;-80.0
165;-80.0
166;-80.0
167;-80.0
168;-80.0
169;-80.0
170;-80.0
171;-80.0
172;-80.0
173;-80.0
174;-80.0
175;-80.0
176;-80.0
177;-80.0
178;-80.0
179;-80.0
180;-80.0
181;-80.0
182;-80.0
183;-80.0
184;-80.0
185;-80.0
186;-80.0
187;-80.0
188;-80.0
189;-80.0
190;-80.0
191;-80.0
192;-80.0
193;-80.0
194;-80.0
195;-80.0
196;-80.0
197;-80.0
198;-80.0
199;-80.0
