pdb_id;len;time;rmsd
6t1z;393;472.8161635398865;28.388803708644648
6uv6;264;391.8319935798645;22.11165242128241
6s44;146;56.88036298751831;19.204671921104506
7d2o;168;72.30363345146179;21.80398186560308
6vqp;8;0.48717403411865234;4.276691777998281
6uf2;125;29.37969946861267;15.924354906332937
6poo;269;339.0833179950714;34.64311859843297
6vr4;2129;5645.1300094127655;63.683882302857015
6n64;-;DNF;inf
6tmm;-;DNF;inf
6vn1;584;463.134325504303;50.6198058176673
6ya2;-;DNF;inf
6xod;166;49.69980788230896;18.398830565071286
6px4;141;19.038959503173828;17.323853112843043
7bgl;-;DNF;inf
6y4f;135;19.21453881263733;17.89338841235712
7m7a;529;300.5480046272278;33.73041766667522
6v4v;139;21.04888129234314;17.027757272060793
6zyc;148;38.87759828567505;15.850943926456866
6yj1;169;45.0704391002655;17.411064877156473
7m6b;244;47.3111686706543;18.91298764567263
7abw;365;63.32511520385742;28.1649412296178
7jtl;101;23.566377878189087;16.63368200286412
7m5f;116;24.768712997436523;14.52587934062377
7rej;252;48.01022386550903;25.3325573393977
6r17;56;7.522222280502319;23.24712859111993
7oc9;133;33.17437028884888;22.68838887522869
6xn8;539;155.10655570030212;30.485659073218137
7cwp;129;22.741471529006958;19.12336340396749
7pk6;-;DNF;inf
6x6o;76;12.860233306884766;10.169350589070381
7mhu;374;97.29294037818909;29.82453518684998
7k7w;189;33.53693914413452;19.108938525550467
6ygh;193;20.454522848129272;21.456865718544584
