pdb_id;len;time;rmsd
6t1z;393;52.63;26.38
6uv6;263;15.7;23.88
6s44;146;5.68;18.86
7d2o;168;6.38;21.94
6vqp;292;17.17;21.74
6uf2;125;4.54;16.98
6poo;269;17.77;32.3
6vr4;2129;891.98;54.69
6n64;166;8.23;19.44
6tmm;-;DNF(.mmcif);inf
6vn1;584;55.2;45.69
6ya2;188;10.55;23.18
6xod;154;7.69;18.29
6px4;72;2.14;14.04
7bgl;-;DNF(.mmcif);inf
6y4f;135;6.09;17.72
7m7a;538;86.89;36.6
6v4v;139;5.53;19.58
6zyc;148;5.92;17.16
6yj1;169;8.82;17.36
7m6b;244;20.55;21.01
7abw;360;28.78;28.79
7jtl;102;5.68;21.02
7m5f;96;4.11;12.45
7rej;324;31.72;31.23
6r17;93;2.87;31.38
7oc9;133;5.36;17.6
6xn8;540;61.22;29.66
7cwp;125;5.03;16.38
7pk6;-;DNF(.mmcif);inf
6x6o;73;2.29;11.9
7mhu;374;41.19;25.42
7k7w;189;7.38;17.41
6ygh;188;9.66;17.56
