pdb_id;len;time;energy;rmsd
6t1z;393;4.31;-296.0;30.08
6uv6;790;13.92;-459.0;52.73
6s44;146;0.84;-66.0;21.61
7d2o;168;0.99;-76.0;20.01
6vqp;300;2.53;-175.0;33.3
6uf2;125;0.68;-85.0;24.06
6poo;269;1.98;-74.0;36.86
6tmm;-;DNF;inf
6ya2;551;6.66;-193.0;38.41
6xod;320;2.71;-143.0;29.17
6px4;427;4.44;-179.0;32.68
7bgl;-;DNF;inf
6y4f;135;0.74;-63.0;20.85
6v4v;139;0.75;-67.0;21.45
6zyc;148;0.78;-54.0;21.7
6yj1;338;2.93;-134.0;26.43
7m6b;478;5.53;-214.0;48.87
7abw;725;12.19;-481.0;49.78
7jtl;203;1.31;-97.0;20.67
7m5f;212;1.44;-115.0;22.25
7rej;576;7.52;-283.0;36.74
6r17;306;2.37;-81.0;42.89
7oc9;133;0.68;-56.0;22.7
7cwp;511;6.07;-245.0;42.21
7pk6;-;DNF;inf
6x6o;149;0.82;-59.0;17.59
7mhu;748;12.17;-385.0;32.64
7k7w;189;1.24;-120.0;27.78
6ygh;790;13.26;-331.0;49.17
