pdb_id;len;time;rmsd
6t1z;393;5.0;36.53
6uv6;263;2.85;24.16
6s44;146;1.31;25.12
7d2o;168;1.45;21.26
6vqp;292;3.24;41.95
6uf2;125;1.15;15.16
6poo;269;2.46;27.49
6vr4;2129;62.73;78.7
6n64;166;1.47;21.77
6tmm;-;DNF(.mmcif);inf
6vn1;584;7.44;47.16
6ya2;188;1.68;28.29
6xod;154;1.43;19.36
6px4;72;0.54;19.13
7bgl;-;DNF(.mmcif);inf
6y4f;135;1.21;21.73
7m7a;538;6.51;30.52
6v4v;139;1.32;18.18
6zyc;148;1.22;17.57
6yj1;169;1.63;24.52
7m6b;244;2.42;23.65
7abw;360;4.43;30.21
7jtl;102;0.87;25.86
7m5f;96;0.83;17.36
7rej;324;3.43;27.5
6r17;93;0.66;33.89
7oc9;133;1.12;19.7
6xn8;540;7.54;38.88
7cwp;125;1.14;20.5
7pk6;-;DNF(.mmcif);inf
6x6o;73;0.56;11.91
7mhu;374;4.18;25.46
7k7w;189;1.83;23.27
6ygh;188;1.71;26.35
