pdb_id;len;time;energy;rmsd
6t1z;393;871.6;-375.0;30.36
6uv6;790;3115.35;-580.0;39.58
6s44;146;213.87;-110.0;18.27
7d2o;168;173.2;-99.0;19.08
6vqp;300;514.91;-188.0;25.35
6uf2;125;144.23;-105.0;16.7
6poo;269;445.4;-97.0;37.32
6tmm;-;DNF;inf
6ya2;551;1443.95;-239.0;32.97
6xod;320;604.34;-194.0;29.56
6px4;427;777.02;-216.0;32.99
7bgl;-;DNF;inf
6y4f;135;163.56;-97.0;19.24
6v4v;139;138.48;-87.0;17.18
6zyc;148;160.59;-73.0;18.94
6yj1;338;568.96;-179.0;25.06
7m6b;478;1253.75;-298.0;32.72
7abw;725;4430.09;-631.0;44.95
7jtl;203;257.74;-126.0;25.15
7m5f;212;279.56;-139.0;23.82
7rej;576;2012.63;-342.0;34.41
6r17;306;614.59;-115.0;41.46
7oc9;133;143.32;-77.0;15.58
7cwp;511;1307.08;-287.0;38.4
7pk6;-;DNF;inf
6x6o;149;149.59;-79.0;15.25
7mhu;748;3327.6;-418.0;36.46
7k7w;189;310.62;-151.0;22.53
6ygh;790;3379.14;-377.0;35.0
